التاريخ,الزمن,المحافظة,المدينة,نوع المدينة,الطريق,مستوى الزحام (%),وقت التأخير (دقائق لـ10 كم),السرعة المتوسطة (كم/س),ساعة ذروة,حالة الطريق
2025-07-21,11:58,Cairo,Shubra,حضرية,Nasr Road,37,16.9,16.1,لا,تحت الصيانة
2022-08-18,16:51,Cairo,Maadi,حضرية,Al Mehwar Al Markazy,18,36.0,28.6,نعم,مبلل
2024-09-04,17:44,Cairo,Shubra,حضرية,Suez Road,58,28.5,23.7,نعم,جاف
2022-05-18,10:53,Alexandria,Glim,حضرية,Sidi Gaber Road,19,18.2,15.4,لا,جاف
2024-08-24,07:34,Giza,Haram,حضرية,Faisal Road,70,29.9,20.9,نعم,جاف
2022-12-13,13:46,Cairo,Shubra,حضرية,Al Fangari Bridge,61,17.6,29.1,لا,جاف
2024-06-10,09:47,Giza,Haram,حضرية,26th of July Corridor,48,23.7,29.9,نعم,جاف
2023-08-25,07:20,Giza,Sheikh Zayed City,حضرية,Saqqara Road,78,23.7,22.0,نعم,مبلل
2022-10-21,12:55,Assiut,Assiut First,حضرية,Dayrout Main St.,56,16.6,28.4,نعم,جاف
2023-04-11,09:55,Cairo,Maadi,حضرية,Ramses St.,74,32.64,23.0,نعم,جاف
2023-03-04,00:14,Ismailia,Sheikh Zayed,حضرية,Sheikh Zayed St.,36,17.0,28.3,لا,جاف
2024-11-21,12:14,Cairo,Shubra,حضرية,Ring Road,34,15.8,29.6,نعم,جاف
2022-04-15,16:34,Giza,Haram,حضرية,Pyramids Road,65,41.04,29.9,نعم,تحت الصيانة
2023-01-27,12:19,Giza,Imbaba,حضرية,Giza Square,77,17.6,24.1,نعم,تحت الصيانة
2024-10-28,08:18,Cairo,Shubra,حضرية,Al Mehwar Al Markazy,59,28.5,26.5,نعم,مبلل
2022-07-05,15:10,Cairo,Heliopolis,حضرية,Al Azhar St.,73,38.3,26.2,نعم,جاف
2023-11-03,10:19,Cairo,Zeitoun,حضرية,Corniche El Nil,76,19.1,27.3,لا,جاف
2022-10-20,17:35,Giza,Dokki,حضرية,Pyramids Road,38,33.6,28.4,نعم,جاف
2025-02-04,16:16,Alexandria,Sidi Gaber,حضرية,Gamal Abdel Nasser St.,39,39.6,27.0,نعم,مبلل
2024-11-02,10:22,Giza,Agouza,حضرية,El Mansoureya Road,41,18.5,25.8,لا,مبلل
2024-01-24,19:29,Cairo,Zeitoun,حضرية,Ring Road,15,31.0,24.2,نعم,تحت الصيانة
2024-07-03,16:42,Alexandria,Roushdy,حضرية,Gamal Abdel Nasser St.,71,35.5,19.5,نعم,جاف
2023-01-29,21:38,Cairo,Shubra,حضرية,15th of May Bridge,18,17.1,18.6,لا,مبلل
2023-11-14,15:11,Giza,Dokki,حضرية,Alexandria Desert Road,79,32.8,26.6,نعم,جاف
2023-10-30,14:24,Cairo,Gesr El Suez,صناعية,Al Fangari Bridge,23,15.6,33.5,لا,جاف
2022-02-07,21:48,Giza,Faisal,حضرية,Pyramids Road,58,18.5,22.0,لا,مبلل
2024-11-30,13:14,Giza,6th October City,حضرية,Ring Road (Giza Section),28,17.0,23.1,لا,جاف
2022-11-17,17:31,Qalyubia,Shibin El Qanater,ريفية,Shubra-Banha Road,12,18.8,29.2,نعم,جاف
2025-07-31,01:43,Giza,Agouza,حضرية,Giza Square,44,17.4,24.3,لا,تحت الصيانة
2023-01-05,01:44,Giza,Imbaba,حضرية,Ring Road (Giza Section),16,17.0,18.9,لا,جاف
2022-05-30,18:27,Cairo,Nasr City,حضرية,Al Fangari Bridge,35,29.6,17.9,نعم,جاف
2022-02-27,09:32,Cairo,Zamalek,حضرية,15th of May Bridge,34,25.4,17.9,نعم,جاف
2023-01-24,01:43,Giza,Faisal,حضرية,26th of July Corridor,68,19.9,27.4,لا,جاف
2022-10-06,15:59,Alexandria,Montazah,حضرية,Miami Beach Road,60,36.3,27.2,نعم,جاف
2022-04-25,17:14,Cairo,Zeitoun,حضرية,15th of May Bridge,77,44.64,18.4,نعم,تحت الصيانة
2024-01-22,07:29,Qalyubia,Khanka,ريفية,Banha Bypass,38,15.9,35.0,نعم,مبلل
2024-07-01,05:32,Giza,Imbaba,حضرية,Alexandria Desert Road,74,19.2,25.5,لا,تحت الصيانة
2022-01-27,15:23,Alexandria,Glim,حضرية,Sidi Gaber Road,77,32.9,28.8,نعم,جاف
2023-03-15,12:27,Qalyubia,Qalyub,صناعية,Qalyub Main St.,34,14.0,28.0,نعم,جاف
2023-03-15,12:21,Giza,Agouza,حضرية,Pyramids Road,30,18.8,26.0,نعم,مبلل
2025-02-10,03:08,Giza,Faisal,حضرية,Faisal Road,19,17.3,16.6,لا,جاف
2024-08-16,12:56,Giza,Sheikh Zayed City,حضرية,Saqqara Road,76,19.2,20.4,نعم,تحت الصيانة
2022-09-16,16:44,Cairo,Shubra,حضرية,Ramses St.,76,39.4,27.2,نعم,مبلل
2023-03-28,07:14,Cairo,Heliopolis,حضرية,Ramses St.,58,35.04,27.9,نعم,جاف
2022-11-15,17:54,Giza,Dokki,حضرية,Alexandria Desert Road,30,31.8,18.7,نعم,جاف
2022-06-14,11:42,Cairo,Zeitoun,حضرية,Autostrad Road,30,17.9,28.7,لا,جاف
2024-03-22,08:29,Giza,Agouza,حضرية,26th of July Corridor,80,26.88,17.2,نعم,تحت الصيانة
2024-12-05,06:58,Giza,Dokki,حضرية,26th of July Corridor,79,19.9,21.6,لا,جاف
2022-09-27,06:48,Alexandria,Stanley,حضرية,Gamal Abdel Nasser St.,44,17.0,28.9,لا,تحت الصيانة
2022-02-24,23:50,Alexandria,Smouha,حضرية,El-Montazah Bridge,43,17.2,15.0,لا,جاف
2024-05-30,12:39,Cairo,Zeitoun,حضرية,Suez Road,49,19.6,20.3,نعم,جاف
2022-10-06,18:21,Cairo,Heliopolis,حضرية,6th October Bridge,63,29.2,24.8,نعم,تحت الصيانة
2023-06-19,19:29,Cairo,Heliopolis,حضرية,Al Mehwar Al Markazy,23,35.4,24.2,نعم,جاف
2025-03-10,17:34,Giza,Agouza,حضرية,Faisal Road,79,37.44,19.8,نعم,جاف
2025-05-07,22:34,Giza,Sheikh Zayed City,حضرية,Giza Square,19,16.8,26.4,لا,مبلل
2022-04-29,12:36,Cairo,Zeitoun,حضرية,15th of May Bridge,58,18.48,22.3,نعم,جاف
2023-08-19,10:24,Cairo,Maadi,حضرية,Corniche El Nil,46,16.5,27.2,لا,جاف
2025-08-01,12:19,Giza,Imbaba,حضرية,Alexandria Desert Road,71,16.2,19.0,نعم,جاف
2022-02-08,17:28,Cairo,Heliopolis,حضرية,Ramses St.,38,34.2,25.1,نعم,تحت الصيانة
2022-06-27,14:12,Giza,Haram,حضرية,Pyramids Road,61,17.9,25.1,لا,جاف
2022-01-20,09:36,Cairo,Maadi,حضرية,Al Mehwar Al Markazy,46,23.7,25.4,نعم,جاف
2023-08-01,16:52,Alexandria,Roushdy,حضرية,Kafr Abdou St.,42,38.3,17.7,نعم,جاف
2022-12-06,03:43,Alexandria,Montazah,حضرية,Corniche Road,51,18.3,29.4,لا,جاف
2023-01-04,20:01,Cairo,Heliopolis,حضرية,6th October Bridge,43,15.7,27.9,لا,تحت الصيانة
2023-08-31,17:13,Cairo,Maadi,حضرية,Salah Salem St.,39,35.2,21.9,نعم,مبلل
2024-02-15,12:42,Qalyubia,Qalyub,صناعية,Obour Access Road,35,16.0,23.5,نعم,مبلل
2022-10-17,10:47,Cairo,Gesr El Suez,صناعية,Nasr Road,13,14.6,31.9,لا,جاف
2022-07-26,21:23,Qalyubia,Khanka,ريفية,Shubra-Banha Road,25,9.9,42.1,لا,مبلل
2025-06-12,13:48,Alexandria,Sidi Gaber,حضرية,Kafr Abdou St.,44,15.8,28.7,لا,مبلل
2024-08-21,07:30,Giza,Haram,حضرية,Pyramids Road,18,22.1,29.4,نعم,جاف
2025-04-14,13:46,Cairo,Zeitoun,حضرية,Ring Road,47,15.7,18.7,لا,مبلل
2024-06-14,19:59,Giza,Faisal,حضرية,Faisal Road,80,38.7,29.6,نعم,جاف
2025-06-01,22:50,Qalyubia,Shibin El Qanater,ريفية,Agricultural Road,12,12.5,34.0,لا,جاف
2025-08-05,01:35,Cairo,Zamalek,حضرية,Ramses St.,66,17.2,15.5,لا,جاف
2024-11-02,22:07,Cairo,Heliopolis,حضرية,Al Mehwar Al Markazy,60,17.9,22.5,لا,جاف
2024-01-23,03:38,Giza,Agouza,حضرية,Saqqara Road,50,16.7,19.2,لا,جاف
2024-03-14,07:06,Cairo,Shubra,حضرية,Salah Salem St.,68,29.52,27.6,نعم,جاف
2023-03-22,15:04,Cairo,Shubra,حضرية,6th October Bridge,59,46.68,15.4,نعم,جاف
2025-04-08,17:34,Giza,Haram,حضرية,Faisal Road,74,37.0,22.2,نعم,تحت الصيانة
2023-06-25,20:29,Giza,Faisal,حضرية,El Bahr El Aazam St.,40,15.6,25.3,لا,مبلل
2023-08-22,07:28,Giza,Agouza,حضرية,Pyramids Road,37,24.4,17.9,نعم,تحت الصيانة
2025-05-14,06:53,Alexandria,Roushdy,حضرية,Desert Road,31,17.2,18.7,لا,مبلل
2023-09-08,11:03,Cairo,Zamalek,حضرية,Al Fangari Bridge,79,15.1,16.8,لا,جاف
2025-08-12,18:26,Cairo,Zeitoun,حضرية,Nasr Road,60,29.9,29.0,نعم,مبلل
2025-01-09,07:04,Alexandria,Stanley,حضرية,Corniche Road,64,22.2,29.1,نعم,جاف
2022-08-30,12:07,Cairo,Downtown,حضرية,Suez Road,31,15.9,28.7,نعم,جاف
2024-09-02,17:35,Giza,Haram,حضرية,26th of July Corridor,75,31.4,19.0,نعم,جاف
2022-11-21,03:24,Giza,Haram,حضرية,El Mansoureya Road,19,15.5,22.4,لا,جاف
2022-09-03,12:46,Giza,Haram,حضرية,26th of July Corridor,78,15.6,22.9,نعم,تحت الصيانة
2024-11-12,18:28,Giza,Faisal,حضرية,Ring Road (Giza Section),50,30.2,26.7,نعم,جاف
2022-09-17,12:37,Cairo,Maadi,حضرية,Al Azhar St.,19,17.8,23.3,نعم,تحت الصيانة
2024-12-07,08:21,Cairo,Downtown,حضرية,Ring Road,72,29.3,25.4,نعم,تحت الصيانة
2022-08-02,04:12,Cairo,Maadi,حضرية,Corniche El Nil,30,18.4,26.6,لا,جاف
2022-02-05,12:25,Giza,Dokki,حضرية,El Bahr El Aazam St.,46,16.5,23.7,نعم,جاف
2022-04-24,09:02,Giza,Imbaba,حضرية,El Bahr El Aazam St.,74,33.239999999999995,20.6,نعم,جاف
2022-11-14,02:44,Cairo,Zeitoun,حضرية,15th of May Bridge,66,18.1,19.4,لا,جاف
2022-02-10,15:16,Alexandria,Montazah,حضرية,Sidi Gaber Road,56,33.4,29.4,نعم,جاف
2025-03-30,09:55,Alexandria,Sidi Gaber,حضرية,Miami Beach Road,56,28.56,22.5,نعم,مبلل
2023-08-26,09:08,Cairo,Zamalek,حضرية,Corniche El Nil,67,26.8,28.3,نعم,جاف
2024-03-22,09:56,Giza,Haram,حضرية,El-Lebbini St.,75,26.52,22.7,نعم,جاف
2022-11-04,13:52,Alexandria,Miami,حضرية,El-Horreya Ave,65,16.7,16.6,لا,تحت الصيانة
2022-11-05,16:14,Alexandria,Miami,حضرية,El-Montazah Bridge,57,30.6,17.0,نعم,تحت الصيانة
2024-04-05,09:38,Cairo,Downtown,حضرية,6th October Bridge,60,29.759999999999998,23.3,نعم,جاف
2023-02-16,17:53,Alexandria,Miami,حضرية,El-Horreya Ave,78,35.9,28.3,نعم,مبلل
2024-02-09,12:01,Giza,Agouza,حضرية,Faisal Road,62,15.7,16.4,نعم,جاف
2024-03-13,07:38,Cairo,Gesr El Suez,صناعية,Suez Road,57,28.679999999999996,34.5,نعم,مبلل
2025-05-18,19:32,Giza,Agouza,حضرية,Giza Square,78,33.8,29.6,نعم,تحت الصيانة
2022-02-02,12:06,Cairo,Heliopolis,حضرية,Al Mehwar Al Markazy,45,16.5,20.9,نعم,جاف
2025-06-08,11:20,Cairo,Shubra,حضرية,Ramses St.,28,18.5,18.3,لا,جاف
2025-02-16,08:18,Cairo,Downtown,حضرية,15th of May Bridge,45,25.9,28.4,نعم,جاف
2022-03-01,23:12,Cairo,Zamalek,حضرية,Salah Salem St.,72,18.0,20.8,لا,مبلل
2024-06-27,15:37,Cairo,Downtown,حضرية,Al Mehwar Al Markazy,20,32.4,16.3,نعم,جاف
2025-03-03,09:36,Giza,Faisal,حضرية,Ring Road (Giza Section),58,33.239999999999995,19.5,نعم,مبلل
2022-10-01,17:24,Cairo,Shubra,حضرية,15th of May Bridge,66,33.9,25.4,نعم,جاف
2025-04-27,19:12,Alexandria,Sidi Gaber,حضرية,Kafr Abdou St.,23,31.8,18.6,نعم,جاف
2023-02-04,11:32,Qalyubia,Shibin El Qanater,ريفية,Banha Bypass,36,10.9,34.8,لا,مبلل
2024-09-15,22:07,Giza,Imbaba,حضرية,26th of July Corridor,19,17.9,17.2,لا,مبلل
2024-07-08,07:28,Giza,Sheikh Zayed City,حضرية,Giza Square,68,26.5,26.0,نعم,مبلل
2025-04-06,23:19,Alexandria,Glim,حضرية,Corniche Road,48,17.6,16.2,لا,تحت الصيانة
2024-05-05,14:44,Qalyubia,Khanka,ريفية,Cairo-Ismailia Road,30,14.7,28.6,لا,جاف
2023-12-25,07:06,Giza,Sheikh Zayed City,حضرية,Saqqara Road,69,26.4,19.4,نعم,جاف
2025-02-16,13:34,Cairo,Downtown,حضرية,6th October Bridge,68,18.9,29.4,لا,جاف
2024-03-26,11:45,Giza,Agouza,حضرية,El Bahr El Aazam St.,69,19.679999999999996,26.5,لا,جاف
2022-02-20,12:28,Cairo,Gesr El Suez,صناعية,Suez Road,32,12.6,20.8,نعم,جاف
2025-07-16,08:02,Alexandria,Sidi Gaber,حضرية,El-Horreya Ave,20,25.6,23.4,نعم,جاف
2025-01-14,17:07,Giza,Imbaba,حضرية,26th of July Corridor,23,32.1,17.2,نعم,تحت الصيانة
2023-04-19,17:45,Cairo,Maadi,حضرية,Al Azhar St.,65,41.76,21.7,نعم,جاف
2022-05-19,15:43,Giza,Agouza,حضرية,El Mansoureya Road,80,31.6,27.5,نعم,جاف
2025-09-01,04:34,Cairo,Downtown,حضرية,Ramses St.,16,19.2,21.5,لا,مبلل
2022-04-16,19:50,Cairo,Gesr El Suez,صناعية,6th October Bridge,59,30.36,29.6,نعم,جاف
2022-02-14,18:01,Alexandria,Roushdy,حضرية,Stanley Bridge,30,36.9,24.6,نعم,مبلل
2024-05-22,16:07,Alexandria,Glim,حضرية,Kafr Abdou St.,37,33.5,20.6,نعم,جاف
2023-10-19,07:07,Giza,Dokki,حضرية,Pyramids Road,40,23.7,27.2,نعم,تحت الصيانة
2025-04-28,09:55,Alexandria,Montazah,حضرية,Abu Qir Road,56,22.4,28.0,نعم,جاف
2025-05-24,07:45,Cairo,Heliopolis,حضرية,6th October Bridge,22,25.5,27.6,نعم,جاف
2023-04-16,18:34,Giza,Imbaba,حضرية,26th of July Corridor,72,38.52,22.3,نعم,جاف
2024-01-15,11:55,Giza,Sheikh Zayed City,حضرية,Saqqara Road,67,16.9,19.6,لا,جاف
2025-02-18,08:38,Cairo,Gesr El Suez,صناعية,Corniche El Nil,28,22.3,31.6,نعم,جاف
2024-05-24,08:30,Cairo,Maadi,حضرية,6th October Bridge,60,24.9,19.1,نعم,مبلل
2024-08-28,12:42,Giza,Agouza,حضرية,Faisal Road,61,19.3,18.3,نعم,جاف
2022-02-19,05:51,Alexandria,San Stefano,حضرية,El-Horreya Ave,56,19.2,27.7,لا,جاف
2024-12-05,12:16,Beheira,Abu Hummus,ريفية,Edku Coastal Road,13,11.7,36.1,نعم,جاف
2023-08-01,10:32,Luxor,Esna,ريفية,West Bank Road,28,12.3,39.0,لا,تحت الصيانة
2023-11-19,07:45,Monufia,Quesna,صناعية,Shebin El Kom-Tanta Road,58,22.0,32.3,نعم,جاف
2025-08-09,17:03,Giza,Sheikh Zayed City,حضرية,El-Lebbini St.,66,36.9,28.1,نعم,جاف
2022-03-22,09:05,Cairo,Zamalek,حضرية,Al Mehwar Al Markazy,62,24.0,20.9,نعم,مبلل
2023-12-09,05:00,Alexandria,Glim,حضرية,Gamal Abdel Nasser St.,36,16.5,29.5,لا,جاف
2022-11-24,19:09,Giza,Agouza,حضرية,El Mansoureya Road,68,36.4,29.5,نعم,مبلل
2024-06-09,11:30,Qalyubia,Shibin El Qanater,ريفية,Obour Access Road,30,13.7,36.2,لا,مبلل
2023-08-21,15:26,Cairo,Maadi,حضرية,Al Mehwar Al Markazy,76,39.8,18.7,نعم,جاف
2022-04-29,19:55,Giza,Agouza,حضرية,Giza Square,63,37.32,29.5,نعم,جاف
2023-07-05,09:48,Giza,Haram,حضرية,Pyramids Road,79,22.4,25.0,نعم,مبلل
2022-07-20,22:21,Alexandria,Smouha,حضرية,El-Horreya Ave,43,19.2,28.5,لا,جاف
2023-09-03,19:43,Cairo,Zamalek,حضرية,15th of May Bridge,58,33.0,25.3,نعم,جاف
2024-06-14,18:42,Giza,Agouza,حضرية,26th of July Corridor,74,39.9,22.5,نعم,جاف
2022-01-03,22:03,Giza,Faisal,حضرية,Faisal Road,65,19.0,23.8,لا,جاف
2024-09-05,08:33,Cairo,Gesr El Suez,صناعية,Al Mehwar Al Markazy,15,19.6,31.2,نعم,جاف
2025-04-25,06:31,Giza,Dokki,حضرية,26th of July Corridor,57,18.3,27.8,لا,مبلل
2024-08-14,20:07,Qalyubia,Banha,حضرية,Qalyub Main St.,58,16.1,23.6,لا,جاف
2022-10-27,00:38,Aswan,Edfu,ريفية,Aswan High Dam Road,16,8.4,37.4,لا,جاف
2024-05-25,18:37,Alexandria,Miami,حضرية,Miami Beach Road,48,34.8,25.9,نعم,جاف
2024-04-22,07:03,Giza,Agouza,حضرية,El Bahr El Aazam St.,74,26.5,22.5,نعم,تحت الصيانة
2024-05-03,23:35,Giza,6th October City,حضرية,El-Lebbini St.,68,17.1,23.0,لا,مبلل
2022-01-08,01:59,Cairo,Gesr El Suez,صناعية,Al Mehwar Al Markazy,33,15.6,34.0,لا,مبلل
2022-03-31,08:52,Giza,Dokki,حضرية,Ring Road (Giza Section),31,24.1,21.9,نعم,مبلل
2024-11-15,18:27,Cairo,Nasr City,حضرية,Al Mehwar Al Markazy,69,32.4,22.5,نعم,جاف
2025-03-04,12:59,Cairo,Gesr El Suez,صناعية,Salah Salem St.,48,16.2,23.0,نعم,جاف
2023-12-06,12:09,Giza,Haram,حضرية,El Mansoureya Road,16,17.1,29.1,نعم,تحت الصيانة
2024-09-16,17:19,Alexandria,Montazah,حضرية,Abu Qir Road,73,28.9,15.9,نعم,جاف
2023-11-23,02:32,Giza,Imbaba,حضرية,Faisal Road,61,16.4,26.4,لا,تحت الصيانة
2024-09-20,12:53,Cairo,Zeitoun,حضرية,Ring Road,61,18.8,21.6,نعم,جاف
2024-01-30,15:02,Cairo,Zeitoun,حضرية,Al Azhar St.,76,29.3,25.5,نعم,جاف
2025-02-22,08:32,Cairo,Shubra,حضرية,Al Mehwar Al Markazy,18,26.2,27.4,نعم,جاف
2022-03-07,19:17,Cairo,Nasr City,حضرية,Corniche El Nil,66,33.6,26.0,نعم,جاف
2022-01-24,13:39,Alexandria,Sidi Gaber,حضرية,Sidi Gaber Road,69,17.0,22.2,لا,تحت الصيانة
2024-04-23,18:14,Cairo,Nasr City,حضرية,Al Fangari Bridge,52,28.9,15.4,نعم,جاف
2023-07-22,17:13,Giza,6th October City,حضرية,El Mansoureya Road,34,35.2,18.9,نعم,مبلل
2025-02-26,19:29,Giza,Imbaba,حضرية,Faisal Road,30,33.1,27.7,نعم,جاف
2022-11-24,02:47,Cairo,Downtown,حضرية,Autostrad Road,62,19.2,20.4,لا,جاف
2025-04-27,08:31,Cairo,Downtown,حضرية,Al Mehwar Al Markazy,24,24.8,19.2,نعم,جاف
2025-08-23,10:58,Alexandria,San Stefano,حضرية,Miami Beach Road,27,19.1,23.0,لا,جاف
2024-03-16,12:52,Qalyubia,Khanka,ريفية,Agricultural Road,37,14.04,36.9,نعم,جاف
2025-05-27,16:46,Alexandria,Roushdy,حضرية,Desert Road,59,39.7,17.0,نعم,جاف
2025-09-13,16:49,Alexandria,Smouha,حضرية,El-Montazah Bridge,36,38.2,27.8,نعم,جاف
2024-11-27,12:55,Alexandria,Miami,حضرية,Gamal Abdel Nasser St.,46,15.7,26.9,نعم,مبلل
2022-09-03,23:05,Cairo,Heliopolis,حضرية,Ramses St.,29,18.8,16.1,لا,تحت الصيانة
2023-09-05,13:23,Cairo,Shubra,حضرية,Nasr Road,73,15.7,24.6,لا,جاف
2022-06-13,10:09,Giza,Sheikh Zayed City,حضرية,Saqqara Road,40,19.7,29.6,لا,تحت الصيانة
2022-04-18,12:09,Assiut,Manfalout,ريفية,Qusiya Road,35,15.36,33.8,نعم,جاف
2024-09-12,06:38,Cairo,Downtown,حضرية,Salah Salem St.,57,15.7,29.2,لا,تحت الصيانة
2022-06-25,15:16,Luxor,Esna,ريفية,West Bank Road,23,15.3,41.6,نعم,جاف
2024-10-15,09:55,Giza,Haram,حضرية,Faisal Road,18,27.5,21.2,نعم,جاف
2022-08-29,04:23,Giza,6th October City,حضرية,Alexandria Desert Road,43,16.1,17.0,لا,جاف
2023-10-11,07:44,Cairo,Gesr El Suez,صناعية,Al Mehwar Al Markazy,47,20.1,34.6,نعم,تحت الصيانة
2024-06-13,10:41,Cairo,Maadi,حضرية,Al Fangari Bridge,55,15.9,29.5,لا,جاف
2024-02-11,09:25,Qalyubia,Shibin El Qanater,ريفية,Qalyub Main St.,37,14.1,31.3,نعم,جاف
2023-01-04,03:29,Giza,Agouza,حضرية,El Bahr El Aazam St.,26,17.5,15.5,لا,جاف
2023-10-16,07:31,Alexandria,Smouha,حضرية,El-Montazah Bridge,52,26.3,23.5,نعم,جاف
2022-05-19,19:02,Giza,Imbaba,حضرية,El Mansoureya Road,57,33.4,17.8,نعم,جاف
2024-06-02,12:34,Qalyubia,Banha,حضرية,Qalyub Main St.,42,17.9,25.6,نعم,تحت الصيانة
2025-03-11,17:24,Cairo,Gesr El Suez,صناعية,Al Mehwar Al Markazy,43,26.88,22.4,نعم,جاف
2024-03-13,07:31,Giza,Agouza,حضرية,Saqqara Road,71,33.36,23.6,نعم,جاف
2025-03-30,07:53,Giza,Haram,حضرية,Alexandria Desert Road,62,30.72,27.5,نعم,جاف
2022-01-05,22:28,Giza,6th October City,حضرية,El Bahr El Aazam St.,63,18.3,15.4,لا,مبلل
2023-09-28,17:31,Cairo,Gesr El Suez,صناعية,Salah Salem St.,60,28.6,34.2,نعم,مبلل
2023-03-13,12:53,Giza,6th October City,حضرية,El Bahr El Aazam St.,76,19.1,24.9,نعم,جاف
2022-06-18,22:02,Giza,Haram,حضرية,El-Lebbini St.,67,18.0,21.7,لا,جاف
2023-11-05,23:00,Cairo,Downtown,حضرية,Autostrad Road,30,15.4,29.4,لا,جاف
2023-08-20,15:41,Cairo,Shubra,حضرية,Salah Salem St.,37,28.0,21.7,نعم,تحت الصيانة
2022-05-03,07:42,Cairo,Nasr City,حضرية,Corniche El Nil,58,33.12,25.1,نعم,جاف
2022-07-21,16:02,Cairo,Zeitoun,حضرية,15th of May Bridge,40,32.0,25.1,نعم,جاف
2022-10-12,09:25,Alexandria,San Stefano,حضرية,El-Horreya Ave,68,29.1,28.9,نعم,جاف
2023-11-16,22:00,Cairo,Zamalek,حضرية,Ring Road,68,17.6,15.4,لا,مبلل
2024-04-08,19:04,Alexandria,San Stefano,حضرية,Corniche Road,59,48.0,19.2,نعم,مبلل
2024-06-26,07:12,Cairo,Heliopolis,حضرية,Salah Salem St.,73,27.9,16.4,نعم,جاف
2024-01-09,09:11,Cairo,Gesr El Suez,صناعية,Corniche El Nil,19,19.3,30.5,نعم,جاف
2024-05-27,07:54,Alexandria,Stanley,حضرية,Miami Beach Road,75,28.4,20.1,نعم,جاف
2022-10-05,10:11,Luxor,Armant,ريفية,Luxor-Aswan Road,33,15.0,41.2,لا,تحت الصيانة
2024-12-07,16:03,Cairo,Shubra,حضرية,Suez Road,74,38.8,17.3,نعم,جاف
2023-07-14,12:57,Alexandria,Montazah,حضرية,Corniche Road,76,19.1,25.1,نعم,تحت الصيانة
2023-10-25,13:18,Cairo,Gesr El Suez,صناعية,Nasr Road,19,13.4,34.2,لا,مبلل
2025-03-21,17:04,Giza,Agouza,حضرية,Saqqara Road,73,39.12,22.1,نعم,جاف
2023-02-22,06:03,Cairo,Shubra,حضرية,6th October Bridge,61,17.1,21.2,لا,جاف
2025-01-08,05:51,Cairo,Maadi,حضرية,Corniche El Nil,72,19.5,17.3,لا,جاف
2023-08-31,19:26,Cairo,Nasr City,حضرية,Salah Salem St.,75,33.6,17.0,نعم,تحت الصيانة
2024-06-23,12:32,Minya,Mallawi,ريفية,Upper Egypt Highway,35,13.6,44.2,نعم,مبلل
2023-10-03,12:47,Cairo,Heliopolis,حضرية,Corniche El Nil,33,15.1,23.3,نعم,جاف
2023-12-31,18:12,Cairo,Downtown,حضرية,Nasr Road,48,31.5,28.5,نعم,جاف
2024-07-04,23:33,Giza,6th October City,حضرية,El Mansoureya Road,51,15.2,16.8,لا,تحت الصيانة
2023-04-22,09:31,Cairo,Gesr El Suez,صناعية,Al Fangari Bridge,59,27.84,34.2,نعم,جاف
2022-10-01,09:56,Giza,Sheikh Zayed City,حضرية,El-Lebbini St.,79,22.1,25.3,نعم,جاف
2022-08-22,04:34,Cairo,Nasr City,حضرية,Nasr Road,54,16.0,23.6,لا,جاف
2022-09-20,17:28,Alexandria,San Stefano,حضرية,El-Montazah Bridge,80,29.2,17.2,نعم,جاف
2025-01-25,11:20,Giza,Haram,حضرية,Ring Road (Giza Section),29,15.4,26.1,لا,مبلل
2022-05-31,15:55,Alexandria,Smouha,حضرية,Miami Beach Road,41,34.4,26.8,نعم,جاف
2023-05-11,23:00,Cairo,Maadi,حضرية,Corniche El Nil,50,19.4,19.1,لا,جاف
2023-08-29,09:10,Qalyubia,Qalyub,صناعية,Shubra-Banha Road,11,21.2,26.8,نعم,جاف
2023-12-07,17:16,Cairo,Maadi,حضرية,Nasr Road,61,39.4,22.0,نعم,جاف
2022-07-16,18:34,Cairo,Zeitoun,حضرية,Ring Road,61,36.0,27.3,نعم,جاف
2023-10-19,07:29,Alexandria,Stanley,حضرية,Kafr Abdou St.,65,27.7,16.8,نعم,تحت الصيانة
2022-07-04,19:23,Cairo,Downtown,حضرية,15th of May Bridge,20,38.0,28.5,نعم,جاف
2024-02-29,23:07,Alexandria,San Stefano,حضرية,Kafr Abdou St.,32,17.8,21.1,لا,جاف
2024-07-12,12:36,Giza,Imbaba,حضرية,Saqqara Road,64,19.4,19.0,نعم,جاف
2022-12-20,21:23,Giza,6th October City,حضرية,26th of July Corridor,80,17.0,29.7,لا,جاف
2025-04-24,04:46,Giza,Dokki,حضرية,El Mansoureya Road,20,18.5,23.3,لا,جاف
2024-10-16,07:59,Cairo,Downtown,حضرية,Ring Road,19,27.3,19.0,نعم,مبلل
2025-08-28,19:39,Alexandria,San Stefano,حضرية,El-Horreya Ave,46,30.9,19.0,نعم,جاف
2022-05-02,18:01,Giza,Sheikh Zayed City,حضرية,Ring Road (Giza Section),64,44.879999999999995,26.7,نعم,جاف
2024-09-20,12:47,Cairo,Downtown,حضرية,Autostrad Road,72,17.4,27.2,نعم,جاف
2024-05-15,11:04,Qalyubia,Banha,حضرية,Obour Access Road,52,16.5,16.2,لا,مبلل
2022-06-25,16:04,Cairo,Zamalek,حضرية,6th October Bridge,79,37.4,22.6,نعم,جاف
2022-06-25,05:50,Cairo,Downtown,حضرية,6th October Bridge,21,16.6,15.1,لا,تحت الصيانة
