نوع الحادث,زمن الحادث,تاريخ الحادث,محافظة الحادث,مدينة الحادث,زمن الانقاذ و حل المشكله
سقوط من ارتفاع,07:01,2023-08-29,Alexandria,Miami,181 دقيقة
ازدحام مروري,16:36,2023-08-21,Monufia,Bagour,16 دقيقة
غرق مركبة,01:18,2023-12-03,Luxor,Esna,60 دقيقة
حادث دراجة نارية,22:51,2023-08-14,Minya,Samalut,136 دقيقة
عطل فني,11:58,2023-02-18,Cairo,Heliopolis,61 دقيقة
حريق في السيارة,23:55,2023-11-28,Alexandria,Sidi Gaber,89 دقيقة
ازدحام مروري,23:30,2023-05-01,Qalyubia,Toukh,223 دقيقة
عطل فني,04:02,2023-10-15,Ismailia,Qantara Sharq,120 دقيقة
تصادم مع حيوان,17:05,2023-09-25,Qalyubia,Toukh,94 دقيقة
انقلاب مركبة,15:04,2022-11-09,Port Said,Manakh,222 دقيقة
حادث دراجة نارية,17:12,2022-05-27,Sharqia,Zagazig,60 دقيقة
دهس مشاة,16:07,2024-10-27,Qalyubia,Toukh,134 دقيقة
عطل فني,08:48,2023-11-05,Cairo,Maadi,10 دقيقة
حادث دراجة نارية,18:53,2023-05-09,Cairo,Shubra,227 دقيقة
دهس مشاة,18:49,2023-12-13,Cairo,Zeitoun,127 دقيقة
سقوط من ارتفاع,18:39,2022-09-11,Port Said,Sharq,208 دقيقة
غرق مركبة,08:41,2022-07-11,Dakahlia,Dikirnis,52 دقيقة
عطل فني,05:39,2024-08-25,Aswan,Nasr Nubia,82 دقيقة
انقلاب مركبة,07:30,2023-08-02,Qalyubia,Toukh,96 دقيقة
انقلاب مركبة,17:28,2024-02-04,Port Said,Dawahi,73 دقيقة
ازدحام مروري,07:53,2023-05-16,Assiut,Assiut First,80 دقيقة
تصادم مع حيوان,20:27,2022-09-23,Beheira,Damanhour,119 دقيقة
دهس مشاة,13:05,2022-02-24,Cairo,Zeitoun,167 دقيقة
عطل فني,17:06,2024-04-07,Sharqia,Faqus,67 دقيقة
حريق في السيارة,08:14,2024-07-05,Aswan,Aswan First,87 دقيقة
ازدحام مروري,16:46,2022-05-18,Alexandria,Glim,28 دقيقة
انقلاب مركبة,09:56,2022-02-09,Ismailia,Sheikh Zayed,18 دقيقة
حريق في السيارة,18:05,2024-12-26,Minya,Mallawi,238 دقيقة
دهس مشاة,09:56,2024-12-19,Qalyubia,Banha,66 دقيقة
حادث دراجة نارية,17:23,2024-10-27,Beheira,Damanhour,150 دقيقة
دهس مشاة,02:07,2023-02-08,Dakahlia,Talkha,59 دقيقة
انقلاب مركبة,19:20,2024-07-07,Monufia,Quesna,132 دقيقة
غرق مركبة,09:44,2023-12-02,Minya,Samalut,196 دقيقة
عطل فني,19:32,2022-07-27,Sohag,Girga,187 دقيقة
تصادم سيارات,20:45,2022-04-30,Assiut,Assiut First,156 دقيقة
حادث دراجة نارية,08:10,2023-11-16,Aswan,Edfu,222 دقيقة
غرق مركبة,17:02,2022-09-28,Monufia,Quesna,55 دقيقة
حريق في السيارة,07:49,2022-06-28,Cairo,Maadi,45 دقيقة
حريق في السيارة,10:14,2023-07-31,Ismailia,First District,33 دقيقة
تصادم مع حيوان,18:02,2024-10-06,Luxor,Luxor First,203 دقيقة
حادث دراجة نارية,14:58,2023-03-04,Monufia,Quesna,163 دقيقة
حريق في السيارة,09:23,2022-03-10,Monufia,Berket El Sabaa,174 دقيقة
غرق مركبة,01:10,2023-09-27,Luxor,Armant,90 دقيقة
انقلاب مركبة,00:10,2023-01-04,Luxor,Armant,117 دقيقة
عطل فني,20:08,2024-03-27,Minya,Maghaghah,97 دقيقة
تصادم مع حيوان,19:06,2024-11-11,Monufia,Quesna,80 دقيقة
تصادم مع حيوان,18:07,2024-01-20,Luxor,Qurna,27 دقيقة
ازدحام مروري,08:16,2023-12-09,Aswan,Aswan First,181 دقيقة
حادث دراجة نارية,18:03,2023-08-18,Minya,Mallawi,199 دقيقة
ازدحام مروري,08:29,2023-12-16,Luxor,Luxor First,183 دقيقة
تصادم مع حيوان,19:22,2023-09-09,Beheira,Edku,30 دقيقة
دهس مشاة,13:21,2023-11-19,Dakahlia,Mit Ghamr,36 دقيقة
ازدحام مروري,13:14,2023-02-15,Dakahlia,Talkha,174 دقيقة
تصادم مع حيوان,08:15,2024-12-30,Sohag,Sohag First,169 دقيقة
حريق في السيارة,18:38,2024-03-15,Giza,Imbaba,107 دقيقة
انقلاب مركبة,07:25,2024-05-25,Assiut,Manfalout,57 دقيقة
غرق مركبة,07:23,2023-04-28,Port Said,Manakh,185 دقيقة
سقوط من ارتفاع,08:45,2022-06-19,Giza,Haram,45 دقيقة
دهس مشاة,08:07,2023-04-05,Minya,Beni Mazar,106 دقيقة
دهس مشاة,17:03,2022-07-15,Monufia,Quesna,97 دقيقة
سقوط من ارتفاع,16:16,2024-05-13,Monufia,Bagour,16 دقيقة
حادث دراجة نارية,08:46,2022-04-26,Assiut,Abnoub,64 دقيقة
انقلاب مركبة,09:11,2023-10-03,Sohag,Akhmim,110 دقيقة
سقوط من ارتفاع,08:49,2023-04-06,Cairo,Maadi,154 دقيقة
انقلاب مركبة,17:31,2022-06-19,Monufia,Berket El Sabaa,165 دقيقة
تصادم مع حيوان,18:44,2023-01-06,Dakahlia,Mansoura,86 دقيقة
غرق مركبة,19:32,2022-06-11,Monufia,Shebin El Kom,161 دقيقة
دهس مشاة,06:06,2023-10-19,Giza,Haram,206 دقيقة
دهس مشاة,08:45,2023-01-31,Giza,Dokki,103 دقيقة
انقلاب مركبة,22:52,2024-02-27,Port Said,Arab,135 دقيقة
غرق مركبة,00:06,2024-02-24,Aswan,Nasr Nubia,32 دقيقة
غرق مركبة,17:44,2023-10-12,Qalyubia,Shibin El Qanater,211 دقيقة
انقلاب مركبة,08:10,2023-06-17,Luxor,Luxor First,125 دقيقة
انقلاب مركبة,16:14,2022-12-23,Port Said,Arab,61 دقيقة
حادث دراجة نارية,08:59,2024-04-03,Sohag,Akhmim,152 دقيقة
تصادم سيارات,16:23,2022-01-19,Dakahlia,Talkha,168 دقيقة
دهس مشاة,00:46,2023-04-22,Alexandria,Glim,157 دقيقة
تصادم سيارات,22:36,2024-10-14,Aswan,Nasr Nubia,197 دقيقة
عطل فني,16:28,2024-06-10,Monufia,Quesna,160 دقيقة
حادث دراجة نارية,16:00,2022-08-24,Dakahlia,Dikirnis,13 دقيقة
تصادم سيارات,00:57,2022-01-05,Alexandria,Glim,182 دقيقة
غرق مركبة,16:58,2022-08-20,Dakahlia,Dikirnis,192 دقيقة
غرق مركبة,09:13,2024-03-02,Sharqia,Abu Kabir,104 دقيقة
انقلاب مركبة,08:58,2023-06-06,Monufia,Menouf,82 دقيقة
ازدحام مروري,18:12,2022-06-24,Port Said,Arab,73 دقيقة
حريق في السيارة,18:15,2023-06-23,Monufia,Menouf,205 دقيقة
حادث دراجة نارية,16:13,2023-11-13,Beheira,Rashid,119 دقيقة
تصادم سيارات,17:11,2023-09-20,Luxor,Qurna,122 دقيقة
انقلاب مركبة,08:53,2022-07-02,Aswan,Kom Ombo,160 دقيقة
عطل فني,07:15,2023-12-04,Ismailia,Arbaeen,33 دقيقة
دهس مشاة,07:14,2022-12-02,Ismailia,First District,86 دقيقة
حريق في السيارة,08:11,2024-03-14,Giza,Haram,171 دقيقة
غرق مركبة,09:21,2024-04-02,Monufia,Menouf,134 دقيقة
تصادم مع حيوان,23:53,2024-10-24,Beheira,Edku,43 دقيقة
سقوط من ارتفاع,11:01,2023-03-24,Cairo,Zeitoun,113 دقيقة
سقوط من ارتفاع,05:15,2023-11-10,Sharqia,Minya Al Qamh,194 دقيقة
تصادم مع حيوان,12:16,2024-11-07,Ismailia,Arbaeen,36 دقيقة
تصادم مع حيوان,08:42,2023-03-21,Cairo,Gesr El Suez,142 دقيقة
غرق مركبة,18:53,2022-07-17,Sohag,Akhmim,60 دقيقة
حادث دراجة نارية,18:26,2023-09-08,Ismailia,Sheikh Zayed,113 دقيقة
عطل فني,18:19,2022-12-05,Sharqia,Kafr Saqr,119 دقيقة
ازدحام مروري,18:47,2022-04-04,Ismailia,First District,240 دقيقة
دهس مشاة,01:46,2022-03-22,Port Said,Manakh,137 دقيقة
غرق مركبة,16:47,2024-01-28,Dakahlia,Mit Ghamr,163 دقيقة
عطل فني,08:50,2022-05-14,Assiut,Manfalout,59 دقيقة
حريق في السيارة,19:12,2023-12-30,Assiut,Manfalout,30 دقيقة
سقوط من ارتفاع,09:59,2022-05-06,Assiut,Abnoub,165 دقيقة
حادث دراجة نارية,16:02,2024-04-12,Aswan,Nasr Nubia,209 دقيقة
دهس مشاة,06:19,2023-01-22,Luxor,Armant,35 دقيقة
عطل فني,07:59,2023-12-07,Assiut,Manfalout,13 دقيقة
دهس مشاة,01:40,2022-05-24,Aswan,Aswan First,62 دقيقة
عطل فني,12:17,2024-05-01,Dakahlia,Mansoura,219 دقيقة
تصادم مع حيوان,00:16,2023-10-25,Alexandria,Roushdy,70 دقيقة
ازدحام مروري,17:39,2022-08-01,Alexandria,Miami,187 دقيقة
سقوط من ارتفاع,08:36,2024-12-04,Luxor,Qurna,139 دقيقة
انقلاب مركبة,11:36,2023-09-02,Qalyubia,Qalyub,186 دقيقة
تصادم سيارات,18:02,2023-11-11,Monufia,Berket El Sabaa,182 دقيقة
تصادم سيارات,09:31,2024-11-20,Alexandria,Roushdy,33 دقيقة
عطل فني,09:56,2022-11-12,Giza,Haram,207 دقيقة
تصادم مع حيوان,16:06,2023-04-10,Beheira,Damanhour,17 دقيقة
سقوط من ارتفاع,03:16,2024-06-29,Monufia,Bagour,181 دقيقة
دهس مشاة,18:40,2024-02-27,Assiut,Dayrout,220 دقيقة
حادث دراجة نارية,08:21,2024-11-04,Minya,Mallawi,67 دقيقة
تصادم مع حيوان,17:36,2024-03-06,Aswan,Nasr Nubia,161 دقيقة
دهس مشاة,08:30,2024-05-02,Sharqia,Zagazig,201 دقيقة
غرق مركبة,09:19,2024-09-12,Ismailia,Sheikh Zayed,77 دقيقة
تصادم سيارات,07:33,2024-09-26,Dakahlia,Dikirnis,118 دقيقة
دهس مشاة,14:13,2023-11-27,Alexandria,Roushdy,140 دقيقة
دهس مشاة,08:24,2024-06-28,Monufia,Berket El Sabaa,178 دقيقة
ازدحام مروري,09:58,2023-11-04,Assiut,Abnoub,138 دقيقة
دهس مشاة,18:24,2024-03-10,Giza,Haram,100 دقيقة
عطل فني,07:12,2024-01-08,Qalyubia,Toukh,82 دقيقة
حادث دراجة نارية,09:10,2024-02-15,Alexandria,Roushdy,125 دقيقة
ازدحام مروري,11:51,2023-06-20,Luxor,Luxor First,120 دقيقة
عطل فني,15:57,2023-09-26,Sohag,Tahta,104 دقيقة
سقوط من ارتفاع,14:16,2022-02-03,Minya,Beni Mazar,112 دقيقة
سقوط من ارتفاع,16:30,2023-03-14,Aswan,Aswan First,64 دقيقة
سقوط من ارتفاع,07:11,2024-05-25,Alexandria,Roushdy,71 دقيقة
عطل فني,16:03,2023-11-09,Monufia,Berket El Sabaa,223 دقيقة
ازدحام مروري,17:10,2022-09-20,Sohag,Tahta,145 دقيقة
حادث دراجة نارية,18:32,2023-01-26,Alexandria,Sidi Gaber,82 دقيقة
انقلاب مركبة,18:09,2023-12-13,Sohag,Girga,184 دقيقة
دهس مشاة,12:25,2023-01-30,Sharqia,Bilbeis,225 دقيقة
حادث دراجة نارية,00:55,2023-06-10,Beheira,Edku,193 دقيقة
حريق في السيارة,15:24,2024-10-10,Qalyubia,Shibin El Qanater,48 دقيقة
حريق في السيارة,19:44,2024-06-09,Alexandria,Montazah,160 دقيقة
دهس مشاة,17:54,2023-06-22,Dakahlia,Mansoura,207 دقيقة
غرق مركبة,23:32,2024-11-12,Minya,Mallawi,192 دقيقة
دهس مشاة,08:13,2024-06-02,Qalyubia,Khanka,192 دقيقة
حريق في السيارة,08:47,2024-11-11,Aswan,Edfu,154 دقيقة
غرق مركبة,04:32,2024-02-08,Minya,Maghaghah,132 دقيقة
ازدحام مروري,19:18,2023-11-09,Assiut,Assiut First,109 دقيقة
سقوط من ارتفاع,01:22,2023-02-22,Beheira,Rashid,36 دقيقة
تصادم مع حيوان,19:05,2022-11-27,Assiut,Assiut First,111 دقيقة
عطل فني,07:47,2024-06-22,Qalyubia,Toukh,65 دقيقة
حادث دراجة نارية,02:16,2023-05-09,Port Said,Dawahi,80 دقيقة
حريق في السيارة,17:02,2022-08-18,Aswan,Aswan First,36 دقيقة
تصادم سيارات,04:57,2022-08-25,Luxor,Esna,68 دقيقة
ازدحام مروري,17:04,2022-02-04,Assiut,Abnoub,193 دقيقة
تصادم مع حيوان,15:39,2024-04-29,Assiut,Qusiya,81 دقيقة
تصادم سيارات,09:56,2022-04-30,Cairo,Nasr City,217 دقيقة
تصادم سيارات,08:32,2023-10-29,Beheira,Damanhour,138 دقيقة
تصادم مع حيوان,19:10,2024-08-31,Monufia,Berket El Sabaa,100 دقيقة
ازدحام مروري,08:47,2024-05-15,Dakahlia,Mit Ghamr,194 دقيقة
غرق مركبة,18:06,2024-05-19,Dakahlia,Mansoura,28 دقيقة
انقلاب مركبة,18:48,2024-08-18,Beheira,Edku,40 دقيقة
ازدحام مروري,16:15,2022-01-19,Cairo,Heliopolis,153 دقيقة
غرق مركبة,17:02,2023-01-04,Sohag,Girga,210 دقيقة
ازدحام مروري,08:03,2024-10-04,Assiut,Dayrout,50 دقيقة
عطل فني,20:19,2024-06-08,Aswan,Kom Ombo,189 دقيقة
ازدحام مروري,19:02,2023-03-25,Port Said,Dawahi,124 دقيقة
انقلاب مركبة,11:21,2024-08-30,Assiut,Abnoub,116 دقيقة
تصادم سيارات,12:40,2022-03-12,Qalyubia,Qalyub,213 دقيقة
تصادم مع حيوان,18:59,2023-07-07,Cairo,Zeitoun,134 دقيقة
ازدحام مروري,18:35,2024-07-20,Monufia,Shebin El Kom,147 دقيقة
حريق في السيارة,11:52,2023-01-27,Alexandria,Smouha,11 دقيقة
غرق مركبة,19:19,2024-10-01,Monufia,Quesna,87 دقيقة
حادث دراجة نارية,23:15,2023-02-28,Dakahlia,Bilqas,194 دقيقة
سقوط من ارتفاع,07:51,2022-07-09,Cairo,Gesr El Suez,138 دقيقة
حادث دراجة نارية,08:15,2022-08-15,Sohag,Girga,63 دقيقة
دهس مشاة,17:09,2022-09-16,Beheira,Abu Hummus,226 دقيقة
عطل فني,03:38,2022-09-07,Qalyubia,Shibin El Qanater,181 دقيقة
انقلاب مركبة,17:22,2022-03-22,Cairo,Zeitoun,93 دقيقة
ازدحام مروري,09:59,2022-05-09,Sohag,Sohag First,233 دقيقة
عطل فني,18:44,2024-11-20,Giza,Agouza,124 دقيقة
ازدحام مروري,13:51,2024-01-24,Luxor,Armant,46 دقيقة
حريق في السيارة,16:12,2022-06-24,Aswan,Nasr Nubia,14 دقيقة
حادث دراجة نارية,18:49,2024-05-22,Luxor,Armant,82 دقيقة
حادث دراجة نارية,09:08,2023-09-30,Assiut,Dayrout,178 دقيقة
تصادم مع حيوان,09:00,2024-10-02,Monufia,Bagour,32 دقيقة
سقوط من ارتفاع,17:21,2022-04-09,Cairo,Nasr City,68 دقيقة
عطل فني,16:25,2024-03-16,Ismailia,Sheikh Zayed,121 دقيقة
عطل فني,17:31,2023-09-09,Aswan,Nasr Nubia,225 دقيقة
تصادم سيارات,19:45,2023-11-23,Dakahlia,Talkha,67 دقيقة
تصادم سيارات,17:53,2024-03-21,Monufia,Quesna,174 دقيقة
سقوط من ارتفاع,08:03,2022-08-30,Ismailia,Qantara Sharq,195 دقيقة
تصادم سيارات,08:51,2024-06-29,Dakahlia,Dikirnis,25 دقيقة
دهس مشاة,16:46,2022-03-17,Port Said,Sharq,143 دقيقة
حريق في السيارة,17:36,2022-06-17,Cairo,Zeitoun,90 دقيقة
ازدحام مروري,22:54,2023-11-23,Giza,Haram,67 دقيقة
دهس مشاة,03:50,2024-01-18,Dakahlia,Talkha,17 دقيقة
دهس مشاة,19:30,2022-03-20,Alexandria,Sidi Gaber,204 دقيقة
عطل فني,11:11,2024-02-02,Qalyubia,Qalyub,173 دقيقة
انقلاب مركبة,20:32,2022-10-18,Beheira,Abu Hummus,94 دقيقة
دهس مشاة,16:55,2024-11-08,Giza,Haram,178 دقيقة
ازدحام مروري,18:21,2024-10-19,Aswan,Edfu,205 دقيقة
انقلاب مركبة,12:27,2022-05-05,Giza,Haram,135 دقيقة
ازدحام مروري,19:07,2023-10-05,Minya,Deir Mawas,225 دقيقة
سقوط من ارتفاع,17:15,2022-12-25,Giza,Haram,159 دقيقة
عطل فني,19:50,2022-12-22,Alexandria,Smouha,70 دقيقة
تصادم سيارات,07:46,2024-05-28,Assiut,Assiut First,109 دقيقة
عطل فني,08:36,2024-07-12,Monufia,Quesna,218 دقيقة
دهس مشاة,18:57,2022-01-20,Dakahlia,Bilqas,149 دقيقة
تصادم سيارات,07:08,2024-05-24,Luxor,Armant,177 دقيقة
غرق مركبة,07:12,2022-03-17,Dakahlia,Bilqas,221 دقيقة
تصادم سيارات,19:16,2024-01-06,Monufia,Shebin El Kom,196 دقيقة
انقلاب مركبة,17:26,2023-01-02,Minya,Deir Mawas,206 دقيقة
تصادم سيارات,19:24,2024-11-22,Luxor,Armant,83 دقيقة
تصادم سيارات,14:30,2024-12-29,Dakahlia,Dikirnis,84 دقيقة
حادث دراجة نارية,02:21,2022-12-19,Monufia,Quesna,167 دقيقة
دهس مشاة,16:06,2023-08-23,Monufia,Berket El Sabaa,65 دقيقة
دهس مشاة,07:22,2024-11-06,Qalyubia,Toukh,128 دقيقة
تصادم مع حيوان,18:49,2024-03-03,Dakahlia,Mansoura,66 دقيقة
تصادم مع حيوان,11:42,2023-10-08,Ismailia,First District,106 دقيقة
عطل فني,09:11,2024-05-15,Sohag,Akhmim,231 دقيقة
تصادم مع حيوان,08:59,2023-12-29,Dakahlia,Mansoura,225 دقيقة
انقلاب مركبة,18:41,2024-09-17,Qalyubia,Qalyub,92 دقيقة
انقلاب مركبة,01:38,2023-01-30,Ismailia,Qantara Sharq,152 دقيقة
سقوط من ارتفاع,19:08,2023-05-22,Qalyubia,Khanka,165 دقيقة
دهس مشاة,08:00,2023-04-02,Luxor,Armant,151 دقيقة
سقوط من ارتفاع,07:39,2024-04-24,Sharqia,Faqus,92 دقيقة
عطل فني,17:39,2022-11-01,Port Said,Dawahi,175 دقيقة
تصادم سيارات,17:26,2023-08-26,Port Said,Sharq,222 دقيقة
عطل فني,09:10,2023-12-02,Luxor,Luxor First,99 دقيقة
حريق في السيارة,19:32,2024-12-13,Ismailia,Sheikh Zayed,15 دقيقة
حادث دراجة نارية,18:10,2024-05-20,Minya,Mallawi,75 دقيقة
دهس مشاة,09:04,2023-04-26,Ismailia,First District,92 دقيقة
انقلاب مركبة,07:08,2023-12-20,Aswan,Nasr Nubia,37 دقيقة
دهس مشاة,09:25,2024-06-21,Cairo,Heliopolis,24 دقيقة
حادث دراجة نارية,17:45,2023-04-03,Ismailia,Qantara Sharq,99 دقيقة
عطل فني,09:06,2024-01-02,Beheira,Edku,38 دقيقة
عطل فني,08:04,2023-10-14,Monufia,Quesna,44 دقيقة
عطل فني,09:08,2022-01-28,Sharqia,Abu Kabir,104 دقيقة
دهس مشاة,18:01,2022-10-03,Port Said,Arab,194 دقيقة
دهس مشاة,18:42,2022-04-23,Giza,Agouza,40 دقيقة
انقلاب مركبة,07:04,2022-09-21,Dakahlia,Bilqas,39 دقيقة
دهس مشاة,08:02,2023-05-15,Luxor,Esna,138 دقيقة
عطل فني,10:34,2023-10-20,Aswan,Kom Ombo,105 دقيقة
حادث دراجة نارية,16:43,2022-02-10,Qalyubia,Shibin El Qanater,26 دقيقة
ازدحام مروري,19:29,2024-02-23,Cairo,Heliopolis,111 دقيقة
عطل فني,07:26,2024-04-13,Giza,Agouza,236 دقيقة
تصادم مع حيوان,07:31,2022-11-23,Aswan,Nasr Nubia,16 دقيقة
تصادم مع حيوان,17:39,2022-04-04,Qalyubia,Toukh,87 دقيقة
سقوط من ارتفاع,16:51,2024-05-26,Alexandria,Sidi Gaber,164 دقيقة
حادث دراجة نارية,07:32,2024-03-24,Sohag,Sohag First,153 دقيقة
حريق في السيارة,05:52,2024-01-02,Ismailia,First District,18 دقيقة
عطل فني,18:00,2024-12-23,Luxor,Qurna,67 دقيقة
تصادم سيارات,02:51,2023-12-18,Dakahlia,Mit Ghamr,216 دقيقة
دهس مشاة,09:41,2023-05-29,Aswan,Aswan First,86 دقيقة
تصادم سيارات,19:30,2022-04-02,Port Said,Sharq,22 دقيقة
حادث دراجة نارية,09:32,2024-12-22,Beheira,Abu Hummus,227 دقيقة
ازدحام مروري,19:40,2023-11-17,Qalyubia,Qalyub,114 دقيقة
عطل فني,18:34,2023-10-25,Beheira,Edku,106 دقيقة
سقوط من ارتفاع,08:46,2023-10-01,Sharqia,Minya Al Qamh,120 دقيقة
دهس مشاة,16:28,2023-12-16,Ismailia,First District,19 دقيقة
انقلاب مركبة,16:21,2024-01-02,Beheira,Rashid,136 دقيقة
حادث دراجة نارية,07:40,2024-02-18,Monufia,Quesna,133 دقيقة
حادث دراجة نارية,08:49,2023-06-04,Port Said,Manakh,41 دقيقة
تصادم سيارات,17:55,2022-08-17,Dakahlia,Dikirnis,108 دقيقة
ازدحام مروري,14:31,2023-01-24,Beheira,Rashid,169 دقيقة
تصادم سيارات,21:11,2022-10-04,Sharqia,Minya Al Qamh,226 دقيقة
غرق مركبة,02:12,2022-09-11,Qalyubia,Khanka,148 دقيقة
حادث دراجة نارية,07:03,2024-02-04,Sharqia,Bilbeis,153 دقيقة
سقوط من ارتفاع,17:33,2024-07-20,Sohag,Sohag First,130 دقيقة
تصادم مع حيوان,22:00,2023-03-07,Cairo,Shubra,37 دقيقة
تصادم سيارات,19:12,2022-03-01,Beheira,Abu Hummus,73 دقيقة
حريق في السيارة,16:47,2024-07-19,Dakahlia,Bilqas,216 دقيقة
عطل فني,07:01,2024-07-28,Qalyubia,Toukh,36 دقيقة
دهس مشاة,18:03,2023-09-02,Beheira,Edku,122 دقيقة
حريق في السيارة,07:17,2024-11-12,Dakahlia,Bilqas,220 دقيقة
ازدحام مروري,15:59,2023-04-14,Monufia,Quesna,104 دقيقة
انقلاب مركبة,23:32,2023-01-18,Qalyubia,Banha,106 دقيقة
تصادم سيارات,07:13,2023-09-04,Alexandria,Roushdy,141 دقيقة
تصادم سيارات,02:57,2024-01-09,Ismailia,Sheikh Zayed,164 دقيقة
عطل فني,16:38,2023-09-24,Sharqia,Faqus,131 دقيقة
تصادم مع حيوان,19:25,2022-10-18,Dakahlia,Dikirnis,238 دقيقة
غرق مركبة,07:26,2022-04-02,Beheira,Edku,170 دقيقة
سقوط من ارتفاع,08:10,2024-09-03,Minya,Mallawi,66 دقيقة
ازدحام مروري,18:26,2022-05-24,Sohag,Sohag First,217 دقيقة
ازدحام مروري,03:39,2022-01-27,Minya,Samalut,203 دقيقة
حريق في السيارة,17:17,2022-07-25,Monufia,Berket El Sabaa,96 دقيقة
ازدحام مروري,21:09,2023-06-20,Qalyubia,Qalyub,73 دقيقة
ازدحام مروري,18:30,2023-01-15,Sharqia,Faqus,195 دقيقة
تصادم مع حيوان,08:49,2024-06-17,Cairo,Heliopolis,161 دقيقة
انقلاب مركبة,21:19,2023-09-01,Sharqia,Faqus,239 دقيقة
انقلاب مركبة,09:51,2022-05-05,Qalyubia,Banha,73 دقيقة
دهس مشاة,19:37,2023-01-07,Dakahlia,Dikirnis,68 دقيقة
تصادم سيارات,19:51,2024-03-03,Assiut,Abnoub,41 دقيقة
حادث دراجة نارية,19:22,2024-12-22,Qalyubia,Banha,196 دقيقة
انقلاب مركبة,07:38,2022-11-27,Giza,Imbaba,55 دقيقة
عطل فني,08:08,2024-06-12,Aswan,Aswan First,161 دقيقة
تصادم سيارات,07:36,2022-05-14,Giza,Haram,48 دقيقة
سقوط من ارتفاع,05:26,2022-01-11,Qalyubia,Qalyub,132 دقيقة
غرق مركبة,09:58,2023-03-11,Qalyubia,Khanka,35 دقيقة
سقوط من ارتفاع,09:48,2023-10-27,Monufia,Bagour,207 دقيقة
عطل فني,09:00,2023-03-21,Luxor,Qurna,222 دقيقة
حريق في السيارة,19:13,2024-01-04,Assiut,Abnoub,74 دقيقة
دهس مشاة,19:30,2022-08-20,Luxor,Esna,22 دقيقة
دهس مشاة,00:19,2023-01-05,Assiut,Manfalout,236 دقيقة
عطل فني,18:03,2022-11-17,Luxor,Esna,79 دقيقة
حادث دراجة نارية,06:07,2022-07-22,Assiut,Manfalout,224 دقيقة
عطل فني,17:25,2023-02-11,Minya,Mallawi,84 دقيقة
تصادم سيارات,17:21,2023-12-01,Qalyubia,Khanka,187 دقيقة
سقوط من ارتفاع,08:57,2022-02-09,Dakahlia,Dikirnis,107 دقيقة
غرق مركبة,19:14,2024-05-24,Minya,Mallawi,182 دقيقة
غرق مركبة,08:57,2022-11-01,Port Said,Dawahi,197 دقيقة
سقوط من ارتفاع,16:08,2022-02-25,Luxor,Luxor First,56 دقيقة
دهس مشاة,17:55,2024-07-12,Beheira,Abu Hummus,32 دقيقة
دهس مشاة,08:33,2022-12-30,Alexandria,Sidi Gaber,45 دقيقة
ازدحام مروري,03:14,2023-07-27,Alexandria,Montazah,136 دقيقة
انقلاب مركبة,17:26,2022-03-16,Ismailia,Sheikh Zayed,81 دقيقة
دهس مشاة,08:41,2024-07-08,Luxor,Qurna,158 دقيقة
تصادم سيارات,05:30,2022-08-21,Dakahlia,Dikirnis,108 دقيقة
انقلاب مركبة,08:54,2022-12-31,Giza,Imbaba,160 دقيقة
عطل فني,08:40,2023-04-22,Cairo,Heliopolis,22 دقيقة
عطل فني,07:46,2022-06-08,Sohag,Tahta,81 دقيقة
تصادم مع حيوان,08:43,2023-05-13,Beheira,Damanhour,53 دقيقة
ازدحام مروري,19:29,2024-06-30,Port Said,Dawahi,38 دقيقة
تصادم مع حيوان,16:41,2023-05-29,Monufia,Berket El Sabaa,184 دقيقة
عطل فني,18:24,2024-01-04,Qalyubia,Toukh,92 دقيقة
حريق في السيارة,07:37,2023-11-29,Sohag,Maragha,210 دقيقة
تصادم مع حيوان,09:18,2022-02-24,Qalyubia,Qalyub,152 دقيقة
غرق مركبة,07:21,2022-06-03,Monufia,Menouf,167 دقيقة
سقوط من ارتفاع,02:14,2023-06-28,Aswan,Kom Ombo,52 دقيقة
حريق في السيارة,15:51,2023-11-02,Aswan,Edfu,22 دقيقة
تصادم مع حيوان,17:01,2024-06-02,Giza,Haram,68 دقيقة
عطل فني,13:06,2024-01-30,Alexandria,Montazah,11 دقيقة
تصادم سيارات,16:56,2023-11-10,Luxor,Esna,190 دقيقة
غرق مركبة,17:04,2022-12-31,Sharqia,Zagazig,220 دقيقة
غرق مركبة,22:34,2022-12-07,Beheira,Abu Hummus,113 دقيقة
تصادم مع حيوان,16:26,2024-08-17,Luxor,Qurna,128 دقيقة
تصادم سيارات,13:10,2024-01-17,Assiut,Assiut First,90 دقيقة
ازدحام مروري,18:36,2024-10-06,Ismailia,First District,188 دقيقة
ازدحام مروري,16:00,2024-01-20,Beheira,Abu Hummus,147 دقيقة
حادث دراجة نارية,13:20,2024-05-13,Beheira,Damanhour,60 دقيقة
حادث دراجة نارية,17:21,2024-03-16,Dakahlia,Mansoura,30 دقيقة
حادث دراجة نارية,09:48,2024-06-27,Alexandria,Sidi Gaber,12 دقيقة
ازدحام مروري,07:50,2023-10-30,Aswan,Kom Ombo,146 دقيقة
حادث دراجة نارية,20:18,2023-03-09,Ismailia,Arbaeen,214 دقيقة
تصادم مع حيوان,11:10,2022-03-04,Sharqia,Kafr Saqr,110 دقيقة
سقوط من ارتفاع,05:40,2022-04-28,Dakahlia,Dikirnis,122 دقيقة
